pf_n;pf_p;s_n;s_p;m_n;m_p
0.933;0.33;-417;658;0.582;1.49
0.649;0.255;-494;703;1.07;2.8
2.91;1.18;-412;543;0.164;0.405
1.54;0.2;-390;631;0.282;3.38
1.11;0.0804;-301;674;0.23;3.17
0.573;0.822;-631;523;2.62;1.39
0.91;0.514;-478;636;1.18;27
0.963;0.0202;-328;705;0.315;20.5
0.878;0.00375;-403;843;0.522;137
1.01;0.0566;-353;832;0.348;6.27
0.54;0.135;-596;717;4.13;16.6
1.12;0.834;-476;557;1.05;1.28
0.524;0.301;-651;696;3.58;4.65
0.637;0.0725;-452;684;1.07;8.95
1.08;0.249;-437;662;1.05;2.58
0.845;0.475;-442;644;0.694;2.89
1.37;0.507;-431;602;0.74;1.11
1.37;0.652;-412;503;0.403;1.5
1.41;0.612;-401;649;0.381;1.4
1.45;0.775;-407;592;0.454;1.4
0.739;0.624;-673;642;2.26;2.39
0.716;0.101;-591;705;2.66;11.1
0.928;0.602;-417;582;0.538;1.19
2.83;0.589;-392;662;0.153;0.734
1.08;0.247;-294;498;0.224;1.31
1.12;0.155;-277;579;0.2;1.62
1.18;0.336;-295;595;0.207;0.73
1.48;0.823;-450;510;0.592;0.91
0.551;0.165;-635;657;10.7;12.4
1.09;0.108;-293;668;0.222;2.42
0.33;0.248;-641;708;3.51;7.43
1.09;0.195;-301;598;0.26;5.19
0.765;0.25;-459;671;0.837;2.39
1.08;0.134;-323;575;0.274;6.97
0.957;0.0749;-392;623;0.456;12.9
1.12;0.0706;-290;636;0.212;4.02
1.12;0.0576;-290;669;0.213;5.72
0.669;0.397;-531;605;2.01;4.13
0.144;0.232;-708;787;10;27.7
0.853;0.135;-427;792;0.604;3.81
1.18;0.345;-472;648;0.602;4.04
0.0953;0.00189;-680;648;39;3350
1.39;0.418;-366;495;0.583;2.39
0.917;0.122;-403;718;0.504;6.48
0.575;0.0726;-618;858;6.25;27.2
0.209;0.252;-761;667;8.09;6.96
0.432;0.0495;-585;673;529;923
1.4;0.579;-654;652;1.4;2.27
0.641;0.262;-671;732;2.37;11
0.364;0.583;-747;757;5.22;2.9
0.435;0.881;-671;565;3.02;1.98
1.11;0.338;-324;606;0.28;39.4
0.777;0.142;-450;820;0.735;4.01
0.889;0.0626;-431;737;0.592;40.3
0.886;0.0352;-414;782;0.549;14.2
0.901;0.0223;-397;662;0.496;20
0.483;0.461;-607;722;2.21;6.7
0.83;0.0363;-437;765;0.651;149
0.177;0.413;-677;776;44.9;20.6
0.569;0.238;-649;642;6.85;8.86
0.842;0.147;-509;715;492;8170
0.887;0.0353;-410;780;0.535;248
1.16;0.311;-311;495;0.293;1.34
1.07;0.519;-359;447;0.407;0.817
0.811;0.192;-460;719;0.764;7
1.02;0.123;-343;699;0.339;2.99
1.05;0.116;-331;698;0.305;4.48
1.75;0.824;-432;665;0.303;0.719
1.06;0.285;-321;578;0.274;1.07
1.13;0.275;-285;558;0.224;2.15
1.11;0.242;-280;607;0.2;0.916
